Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Pcdhga10,88.98635111302096,7.9135515535055525,1.5328403057966629,5.162671886679443,2.434496522504998e-7,3.5151799077755416e-6,TRUE
Igkv6-23,201.6268724154141,7.885698339364598,2.4194728092838584,3.259263054788655,0.0011170204357569314,0.0049595399062298895,TRUE
Igkv6-14,42.83255616946921,7.809657727997057,3.4321388312418817,2.275449249578059,0.022878993831140965,0.058616984195112985,FALSE
Clec2g,22.604434628642217,7.729899863074666,2.404184020725318,3.2151864401555392,0.0013035982550613028,0.0056387999807211405,TRUE
Hs3st6,33.295752453942164,7.7063417887422645,1.6637427161068254,4.631931195933456,3.6227055680735986e-6,3.673818742175622e-5,TRUE
Klk1b22,29.25847671317872,7.684888367616194,2.098766928257641,3.6616206707602603,2.506247628957637e-4,0.001423032661089035,TRUE
Ighv1-53,446.3057519170401,7.6407776551156426,2.555616481525985,2.989798238643873,0.002791617749674455,0.010598265616020718,TRUE
Ighv1-50,54.449220016244105,7.637576941974234,2.1707272096651065,3.518441611625874,4.3408932880253085e-4,0.002267341583477505,TRUE
Pdx1,43.99558946514355,7.565315717217102,3.4677523869375273,2.1816193525565564,0.02913763739284588,0.07102299114506183,FALSE
Tmod2,130.17474229403751,7.536929751627534,1.5749931321812782,4.785373089969799,1.7067000071753166e-6,1.9222779252345092e-5,TRUE
Igkv5-48,420.67564079102937,7.491361221181816,2.599498669076768,2.8818484542030682,NA,NA,NA
Trim54,18.478187335382728,7.420268659577841,2.600582898834026,2.853309795624945,0.004326641987805861,0.015167209655818442,TRUE
Pclo,43.31092912400571,7.411527863629432,1.9277331866370573,3.8446855171689447,1.2070713817869316e-4,7.622673544454273e-4,TRUE
Ano3,39.171257221206425,7.381460789442561,1.7586310952472692,4.197276398325428,2.701441593804857e-5,2.1182506079773665e-4,TRUE
Gm46620,38.977951823082314,7.365795567187402,1.5755994210399282,4.674916396152154,2.9407339352290322e-6,3.0870510396735436e-5,TRUE
Tril,54.41966898498206,7.339364730139254,1.5882086684757255,4.621158967217556,3.816022228618092e-6,3.840892029378116e-5,TRUE
Gng4,29.6942008849611,7.292201355492016,1.8230033139202597,4.000103181277588,6.331487181738391e-5,4.4107736012586544e-4,TRUE
Ighv5-4,46.25290456335052,7.280446416055282,2.7217132826562116,2.6749498054953276,0.007474043944118855,0.023825366304691956,TRUE
Igkv2-137,68.92041735987839,7.2565200408110595,2.0984742077316385,3.457998203682975,5.442050128473478e-4,0.0027394726917908865,TRUE
Gm16278,35.362550514424655,7.253494514365907,1.5970939591172277,4.541683019310385,5.580690779937463e-6,5.3921539292639e-5,TRUE
