pathway,GSM5509045,GSM5509046,GSM5509047,GSM5509048,GSM5509049,GSM5509050,GSM5509051,GSM5509052,GSM5509053,GSM5509054,GSM5509055,GSM5509056,GSM5509057,GSM5509058,GSM5509059,GSM5509060,GSM5509061,GSM5509062,GSM5509063,GSM5509064,GSM5509065,GSM5509066,GSM5509067,GSM5509068,GSM5509069,GSM5509070,GSM5509071,GSM5509072,GSM5509073,GSM5509074,GSM5509075,GSM5509076,GSM5509077,GSM5509078,GSM5509079,GSM5509080,GSM5509081,GSM5509082,GSM5509083,GSM5509084,GSM5509085,GSM5509086,GSM5509087,GSM5509088,GSM5509089,GSM5509090,GSM5509091,GSM5509092,GSM5509093,GSM5509094,GSM5509095,GSM5509096,GSM5509097,GSM5509098,GSM5509099,GSM5509100,GSM5509101,GSM5509102,GSM5509103,GSM5509104,GSM5509105,GSM5509106,GSM5509107,GSM5509108,GSM5509109,GSM5509110,GSM5509111,GSM5509112,GSM5509113,GSM5509114,GSM5509115,GSM5509116,GSM5509117,GSM5509118,GSM5509119,GSM5509120,GSM5509121,GSM5509122,GSM5509123,GSM5509124,GSM5509125,GSM5509126,GSM5509127
HALLMARK_ADIPOGENESIS,-0.2794966197435639,-0.3081540886792034,-0.37467242911127313,-0.3549369161400199,-0.3849291778229472,-0.3842666652295008,-0.33736913549891656,-0.3724334848946231,-0.19996273044856885,-0.20496697047160203,-0.3036592244283733,-0.36268381060445776,-0.34403107001260996,-0.38270709938281666,-0.328193586313863,-0.31133799573917886,-0.27941544980659633,-0.3808668887208419,-0.33216191154910857,-0.04820061124732769,-0.006725553104539567,-0.035267204009251846,-0.053191719765152856,-0.0647035129990702,-0.07905569820537452,-0.003326894889356058,-0.02914280883289036,-0.06478302876438627,-0.09378822822057639,-0.0037484274137620233,-0.024519464403032126,-0.03503218372437286,-0.13785803852357886,-0.09233579936952263,-0.09637421923358208,-0.07770844481489314,0.02636084684577278,-0.07578067019772507,-0.09737514137186751,0.2304990171562319,0.21829135855636594,0.28227774717923676,0.23595685008906422,0.2669286487597885,0.22331578898884033,0.3296686908249728,0.22565876161955745,0.2327798208319457,0.22744097430301977,0.1483411883515512,0.21247594375915244,0.21630625190009695,0.22045106051139396,0.2222074588211766,-0.2536312486296185,-0.18008817052214077,-0.16407899304407125,-0.24055330154480825,-0.22214114538011798,-0.2437326333939488,-0.2579685977801598,-0.3099919350627312,-0.2666840045938706,-0.2678798532988812,-0.26778959472136943,-0.2091439523640146,-0.10040469007565592,-0.23092197971592723,-0.22672446608622257,0.011590241507646842,-0.06672750962302089,0.009271101888574523,0.07055924513964368,-0.04634678857440405,-0.00323012320441618,0.04070799869179928,-0.0984907192378672,-0.05397121616567538,0.0751548355317607,0.044149009955021884,0.02210177121006507,0.03215631773216912,0.008782055779493703
HALLMARK_ALLOGRAFT_REJECTION,-0.39547182964434696,-0.39885647038145033,-0.4228059633872734,-0.4231116582498335,-0.4414645743542892,-0.41610422335206637,-0.3996656034276658,-0.39620909145003025,-0.33511083744860476,-0.4704426803512421,-0.43555191274489113,-0.408495322630026,-0.40532817452836334,-0.46902161847747514,-0.4203768081397098,-0.434026568117012,-0.4198467784630126,-0.4706160551024522,-0.3709542436330964,-0.4131905934118659,-0.4150293572327337,-0.41848283261423547,-0.43512358068208473,-0.37716723561659615,-0.42941954041978936,-0.38951948266222813,-0.4580931344494275,-0.451712519480504,-0.4369949525214333,-0.49424327085248637,-0.4710068513458909,-0.46566233939266954,-0.4412614476427977,-0.4596291112544571,-0.44001843647237443,-0.4984316332464194,-0.4808760088550259,-0.46415781275548185,-0.41466249746865,-0.44296259133639143,-0.39948169772329384,-0.4320651396067689,-0.3618628170144689,-0.3897477979860255,-0.4190337342168566,-0.4622531649124855,-0.28254168201560553,-0.39662666498730526,-0.4229522217437678,-0.47164329561483037,-0.3120205910435587,-0.4187221687638229,-0.3771705848330348,-0.4124422900747795,-0.16625998053381347,-0.15668035744659137,-0.39180091532163464,-0.1520473220071519,-0.16274961565405532,-0.18221286947809212,-0.1868113941540146,-0.15613713277224012,-0.1648602025556852,-0.2622888588437883,-0.17549871519646773,-0.29213315922207933,-0.25152328848088257,-0.19274373189215474,-0.3673673666324534,-0.45659764861959823,-0.4658952084672142,-0.4605644856259648,-0.4365593296760998,-0.5028950810002971,-0.4772486083425401,-0.44253208603203564,-0.40141764589324946,-0.5273952636881991,-0.44550518106117293,-0.3775361414061295,-0.42854440709993635,-0.3610907371412159,-0.4092572787855291
HALLMARK_ANDROGEN_RESPONSE,0.09939028762946889,0.02457260810480305,0.05312808168942053,0.14384248286051288,-0.01036175796157579,-0.007068622168246247,0.11899426565802043,-0.06688092876983193,0.12135905751873804,-0.19960035726575076,-0.17234192470986598,-0.13510819222761739,-0.22461864961654956,-0.08306104004480636,0.06486611881900095,0.08166976464715558,-0.13038660129239335,-0.25029924441220963,-0.02632977533789327,-0.004661678906354189,-0.04656394024996707,-0.04985613624372104,-0.04177496310215892,-0.11837254289906596,-0.12142794188129785,0.06652373644418516,0.048625721748349254,-0.07251815130179609,0.020310745047987244,-0.11645425933710435,-0.06637591879125179,-0.0024874668066448002,-0.04857733570301348,-0.27783871521159054,-0.3066656681175448,-0.19913505655167682,-0.1994538901175991,-0.24357850293761493,-0.2506526186919644,-0.12233853998980526,-0.08715566672267683,0.006939189995004563,-0.1343970409217845,-0.08988292649247168,-0.13606677283476146,0.09506394994769088,-0.027711446639049814,-0.14068728943702685,0.05917241726026784,-0.09233375603111997,0.1107442419222674,-0.009726829020815037,0.05906308611321809,0.062031123017990575,0.15899629205065963,0.22258055108169586,0.2141141185094544,0.11808592349631092,0.17288358460274222,0.16199841433983886,0.07813993042999494,-0.08111882922133457,0.012774118745521465,0.09804802844244753,0.1366539964580497,0.15223697973323075,0.1308918184097944,0.08578094949284482,0.11381507926445872,-0.1926228924614399,-0.3217546273188313,-0.18151372591045933,-0.3531664947241947,-0.3210012196737481,-0.3092642506323148,-0.2571321253660315,-0.3382385437044199,-0.35032078776963416,-0.25559020838045093,-0.2058058948894802,-0.23512446324915023,-0.19680313693811513,-0.28604525093891925
HALLMARK_ANGIOGENESIS,0.3763628519317358,0.4158465320808362,0.2737651396054409,0.3860660409605826,0.2927531164069429,0.4338670108027047,0.28207635558860217,0.02580824125366818,0.3705062407906948,0.2957959068952077,0.25795093139473996,0.1802413773819413,0.29232848305091036,0.13529467292439545,0.1482918060612271,0.2904138206093291,0.12002227948795272,0.15980087361923861,0.2954278981090262,0.3573375439494411,0.37190215909508245,0.3777630756154122,0.3419763158198965,0.3506843346377906,0.300965525050952,0.34642986559154915,0.35078760962303923,0.2853752704102391,0.21395430723992492,0.09652859644632789,0.130784904931697,0.16683379252750996,0.14869526253340978,-0.046153476057127385,-0.01711022160122916,-0.026963256437045863,-0.060639663680284256,-7.858894099873615e-4,-0.09311220217117366,-0.12238002469070039,-0.23434558518699178,-0.2753409801848813,-0.15115142439749024,-0.25334104818385567,-0.20064601132320412,-0.35933659786180755,-0.1661293556005252,-0.12145257933908926,-0.1968868463975217,-0.31465252204319316,-0.4633219059225795,-0.22006612744124318,-0.33423570553777165,-0.20335474792172475,0.05136645373348431,-0.011562283097140247,-0.12269016005003158,-0.1038265660155884,0.1450730557849546,0.040851972724470775,0.04391180689660526,-0.0511193152951083,-0.033956868766589265,0.06615584196010446,0.028862821001040512,-0.04942033595700124,0.0421792698432257,-0.04395823952249364,-0.10763802567706857,0.11420109084051606,0.10691840301248026,0.1579048921359232,0.017722041451108533,-0.10389728119791519,-0.20933898702996323,-0.1597315138117379,-0.07254999000453019,-0.21852754890022658,0.02756457628277499,0.0029382032025842275,0.23341472763629795,0.10465799579542,0.15558852545324292
HALLMARK_APICAL_JUNCTION,0.13016536535306406,0.12864350337922648,-0.05149844006699392,0.0206085558133966,0.008799209035355748,0.019494294673607082,-0.029137337440881067,-0.11858129933626058,0.029307921817679744,-0.009050671044777941,-0.005333251865252048,-0.15777231828912128,-0.07633298790876697,-0.13656126555931877,-0.14347523188533629,-0.0740809068329038,-0.13305374058335767,-0.1621453739408788,-0.029135268929746994,-0.13718068560333235,-0.12172193398891777,-0.0980854818933914,-0.13184736841337774,-0.11985086875521697,-0.1560624376997317,-0.18116065365158526,-0.1183508045287414,-0.15426424227940186,-0.17041925665232552,-0.15722022265043473,-0.14183867392238927,-0.2005024089267705,-0.14465396649183565,-0.1869537545092098,-0.22327120604510892,-0.20709096873577615,-0.19951518879941113,-0.16140760219939643,-0.20096255689961884,-0.3261658587331393,-0.3624240156221928,-0.3380245459113416,-0.31671354372460386,-0.367855226620791,-0.3453540998156711,-0.36330132515055735,-0.3442019028613067,-0.3622028595660982,-0.21882500535776106,-0.2294782186671655,-0.27791764194356516,-0.2701188415158736,-0.28468937220083856,-0.27036809959215,-0.14593556608458158,-0.057229457978502485,-0.15122084111788484,-0.031244963201498083,-0.0672668099456456,-0.06860253816373496,-0.09489222681462631,-0.12197612347936157,-0.13240855637984789,0.05376309852371891,0.0035732066886129954,-0.04296056542116922,-0.05047611134685703,-0.06398172377366054,-0.07704199024085245,-0.25095955354961696,-0.24199485217579772,-0.2229546940892631,-0.23754397542943245,-0.2624639900733784,-0.2717057269904629,-0.2618750465300539,-0.28239981421586346,-0.2634657311247115,-0.208008015450684,-0.19823980123320545,-0.16242356076818515,-0.11691727715461149,-0.190636245027905
HALLMARK_APICAL_SURFACE,0.30322119473749065,0.1882171159241003,-0.0423829468530304,0.1737070876310811,0.15332103615415177,0.05278754831646221,0.23355215225908793,0.14838045401595515,0.23926939478966847,0.24781207587956966,0.2368975399409292,0.09867999513372946,0.010948261530514813,0.14341121079883032,0.05930378507777584,0.06037477224125942,0.09964281585382942,-0.050773827952190945,0.034246316691224105,-0.24946280803831952,-0.26097332856030886,-0.3790861730343718,-0.18952621774913098,-0.29304601321846624,-0.20068043242576578,-0.2444436735069285,-0.20307490143119017,-0.2064317170643652,-0.26582632784348087,-0.19560167560874758,-0.21472890126997318,-0.28246823129308624,-0.21195690829281033,-0.16272379884108357,-0.19928278673699706,-0.27727411132680224,-0.21171166294653984,-0.14417707813935454,-0.13317129488649682,0.037559807627522535,-0.05197492842576315,0.11460179009535212,0.09155316949079809,0.07690880769544808,0.010770819256269437,0.005952082047072732,0.16113528268502092,-0.03084480674534784,0.15111336091156816,0.01514536942284228,0.14696462898766618,0.10111966663070646,0.16902541504410304,0.18471761357896138,0.06552231375226064,0.018773343758962363,-0.1976894725196161,0.18016019271304162,0.06757081264870203,0.061608545583337254,0.0036025665045807537,-0.015206416111898435,-0.006990111001149518,0.24073219098394832,0.18988272872011663,0.10178909511499856,-0.028619262512189547,0.02472111332132615,-0.11799929906974303,-0.25554809979643206,-0.23442522131878177,-0.21465481981094897,-0.21977445609987475,-0.3441237556880915,-0.23679963268346219,-0.2912361607178092,-0.313311706892182,-0.27868902815984736,-0.28278493040052166,-0.34724980964207064,-0.3189392026973983,-0.27278260693376016,-0.3102975360092814
HALLMARK_APOPTOSIS,0.03097434271729055,0.030442407215754613,-0.031700299012617617,0.033119161267773284,0.032803713977250515,-0.012493643870784388,0.05316481490788427,-0.0548542473245536,-0.025428405173381546,-0.03413364164298957,-0.03627610221816782,0.03756815382995435,0.020086370056569075,-0.056794079590415214,-0.05396328872168729,-0.08130987656461103,2.751877018392357e-4,-0.2017872781677874,-0.05588737197270616,-0.26004758454964194,-0.035497538178908494,-0.09585435487257613,-0.2141228074803529,-0.20396053054072041,-0.18613495721970708,-0.07861316788688619,-0.06798408710378082,-0.21032919082049983,-0.18825590179196167,-0.2681034510853544,-0.2354544187759644,-0.2685141484620475,-0.2570019178615741,-0.2859100376182169,-0.286520660759398,-0.28449783647423654,-0.27382718947754403,-0.2711489473357902,-0.2435180968146549,-0.2235626440745073,-0.21941646433742107,-0.19404386913980326,-0.2539317564404545,-0.19850249981416732,-0.2398403931883395,-0.12905716984309754,-0.20405389983368086,-0.2051363273929421,-0.20114478221429774,-0.2284837136188428,-0.15992283933089285,-0.16134319348815207,-0.2158612602136678,-0.14106806831893348,-0.04336569908965657,-0.033027403267944344,-0.05190932345463675,-0.08465624322032769,0.012492350185996454,-0.06293752537858299,-0.1202499075259156,-0.06887811533757557,-0.098975610762538635,-0.02634241075996621,-0.029125056908932412,-0.0382474394508894,-0.02219321017579523,-0.012950135355516229,-0.13254635926683966,-0.2524839502549944,-0.2761305203386147,-0.29515992872335817,-0.3131476041131021,-0.31260564509799094,-0.28312953031840626,-0.273100453998359,-0.3047851581644522,-0.33387093024349107,-0.3091778577866563,-0.2671664566997383,-0.1983389719421641,-0.19932766061386953,-0.2277843639381187
HALLMARK_BILE_ACID_METABOLISM,-0.14406508201081478,-0.195183957031302,-0.11936527691948692,-0.05435786803531166,-0.0912506055269458,-0.16713810236971735,-0.138662483530873,-0.05410827353681742,-0.046519560179482417,0.13124208842298363,-0.0614435087568477,-0.017495234149865743,-0.0012878857347711214,0.05161589929273176,-0.08392496654783431,-0.1251392745998692,0.10844561022471289,0.08695277898438088,0.07368695899919898,-0.2792353915995291,-0.18402093626216598,-0.23280505160876738,-0.2777396948181236,-0.22516014651613367,-0.28091248633465565,-0.18990114195551902,-0.1991679934501942,-0.29657591295624536,-0.1822132732724105,-0.2290640767573884,-0.2394985757042677,-0.16888677878358893,-0.27158196233514464,-0.15868903615212265,-0.06228347981388607,-0.11510190213356902,-0.020878202479474806,-0.04846661597314966,-0.051684453231573654,0.037193851533834504,0.11100086403290038,0.11933504979041838,0.14418184629731268,0.11900292881127414,0.2264227115028539,0.18930866233698046,0.12954758100508085,0.15236228296924806,0.1590135457873783,0.14767772412496782,0.12503594036696666,0.16155285580241552,0.2108347438642132,0.15533639280426204,-0.3309725805811856,-0.3136757668261657,-0.26701777542868455,-0.3163680113060761,-0.3175123769164183,-0.27656474905868056,-0.29735775988906105,-0.2849709220196764,-0.2584069215310416,-0.14931282054694284,-0.207425951280854,-0.06946828677633225,-0.19503138629777883,-0.21066441182204107,-0.18197233010273497,0.06023265321564747,0.01622007391336963,0.005275462135106962,0.09558297262592083,0.07502468542806989,0.18948264345926402,0.24054944658680982,0.11788782002089492,0.17594682211760837,0.28974338173456304,0.31553953523092754,0.374709102555795,0.3333526560768504,0.28542204932651277
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06183374669409286,-0.09120489230312206,-0.22015806990363188,-0.06614646631277671,-0.23965070598723454,-0.21875494599050382,-0.04547919700428024,-0.40759541232354957,0.12070516122089398,-0.33746151109968153,-0.269758201448484,-0.3622929703783141,-0.28057708212290844,-0.4692002085887458,-0.28485956320227795,-0.28515243588996364,-0.36278815293015954,-0.4184163919823224,-0.3275924450468477,0.02348652983276836,-0.06686648639123688,0.022852282472117763,-0.07854703575367078,0.014298004612053772,-0.08758863257963438,-0.041664382385617676,-0.07402193487690692,-0.07753958508644691,-0.22491449830202037,-0.18767366028175997,-0.1563535906924856,-0.2238765470705925,-0.21064204393562308,-0.258795055950016,-0.2505515120797912,-0.22580317303086875,-0.1170261810133816,-0.1747013973149999,-0.22781494400565494,-0.06296405243305755,0.0030547775580094805,0.02002768701763835,-0.06430698365529786,-0.05758838295505367,-0.15566577385230695,-0.029018648274874187,-0.040445777912362785,-0.12996927144693668,-0.2819173428801425,-0.3262859926061245,-0.2986865599786195,-0.28349785968880203,-0.26220706158161877,-0.2437627953761922,0.23497637654252218,0.3460107263354356,0.3010952151246552,0.24775063055622382,0.26244060360135546,0.29215869665865457,0.26660344731269203,0.24356015557278604,0.1944887248171347,0.3823354467488689,0.39482503666055424,0.36001323895165216,0.3751549051382368,0.2996946931641935,0.3056952890109752,0.07052608978297809,-0.0451635731925753,0.1367413755432852,-0.04066608448150641,-0.17550665879969365,-0.07012479556714174,0.08103649369033111,-0.19373550454574584,-0.12492716073794745,0.12272854689451998,0.05278213856452632,0.09462309801871811,0.12467200497351501,-0.044397222693011024
HALLMARK_COAGULATION,0.058484187638271456,0.038737064010044564,-0.06726695193217985,0.05129967701421878,-0.07946534016291036,0.03970206881938501,-0.0063856850769862805,-0.11461668824317091,0.04057607618843126,0.03897367573803773,-0.06855965816932172,-0.17368259412612091,-0.055913072782539514,-0.13789304255684007,-0.06690118667412034,-0.17967420214669433,-0.08742642834369278,-0.09545807873045423,0.058959174054704605,-0.17521884480635158,-0.1388188673861323,-0.18799748389186594,-0.32236672507426367,-0.1059997349985392,-0.23701052623522598,-0.10673306871342937,-0.12237165282919743,-0.21161159892576917,-0.23078709677097498,-0.21814055802624854,-0.20847143439887839,-0.2323833884813329,-0.2520946801973195,-0.19916859341200152,-0.25772688803140853,-0.28485701300840804,-0.13395140092566699,-0.21921341356259794,-0.21528456719096747,-0.27944202204270735,-0.3463149101299826,-0.3200502946196572,-0.3284650014191951,-0.2980884560297448,-0.29705123470846156,-0.18055302861316236,-0.3306947118323216,-0.3380094254782228,-0.19663389785340707,-0.23931982630141405,-0.12202384715762431,-0.1929794014898058,-0.20772818996508519,-0.15035112282375684,-0.17701760681908346,-0.04307449334080424,-0.020809048244962713,-0.1819729779090437,-0.10689212991181413,-0.17811684831380487,-0.10287931381162008,-0.2898777974168198,-0.27289874816286797,0.04366467167020874,-0.12428869572187223,0.023806034106319818,0.032193441318409316,-0.053925173605821275,-0.07429423249691597,-0.1998226171556388,-0.19961261362380534,-0.1361336557562508,-0.1695721850400703,-0.22248463144750763,-0.2375130269584088,-0.18349213878883097,-0.21979629605977108,-0.2635036886222923,-0.07027352790913974,-0.09621081924052668,-0.04402813112146062,-0.0549398792346914,-0.06621481853631087
